species,home_range_km2
Geomela_TFIC_sp_01,24072.34122
Diemenoma_sp_B,23862.87424
Porrostoma_simsoni,22808.96805
Exithius_TFIC_sp_01,22555.0251
Diemenoma_cf._nodulosa,22150.17796
Decilaus_mollis,21792.91483
Mandalotus_mB3,21644.70722
Decilaus_Group_BC:_lateralis_+_suturalis,21370.05661
Exithius_conjunctus,21314.20555
Maydena_foveiventris,21217.80017
Cryptamorpha_triguttata,20586.18561
Percosoma_carenoides,20415.88342
Austroethetus_TFIC_01,19952.00754
Promecoderus_viridiaeneus,19714.34423
Notolioon_griffithi,19084.41365
Enhypnon_tuberculatum,18968.48438
Diplocoelus_angustulus,18685.9887
Baocera_TFIC_sp_01,18586.38889
Notolioon_gemmatus,18576.06106
Pseudomoryhchus_mixtus,18286.25429
Decilaus_TFIC_sp_03,18102.44379
Simodontus_sexfoveatus,18031.26115
Roptoperus_sp.,17899.92567
Cholevinae_sp_01,17778.55034
Aporocera_erosa,17701.75219
Paraplectus_CHANDLER_TAS_1,17631.65681
Dinichus_terreus,17265.00533
Baocera_TFIC_sp_02,16952.85629
Holopsis_TFIC_sp_01,16906.49276
Anthrenus_verbasci,16809.77708
Metopum_melanocephalum,16734.98279
Quedius_leai,16519.54747
Stichonotus_decoloratus,16450.92033
Microchaetes_hystricosus,16275.21619
Scaphisoma_indutum,16263.07752
Decilaus_Group_C:_glabrous_+_minute,16246.84491
Roptoperus_bryophilus,15883.20257
Thalycrodes_cylindricum,15789.35883
Agyrtodes_atropos,15525.12751
Prosopogmus_punctifer,15492.30364
Philothermus_tasmanicus,15255.26062
Clambus_simsoni,14914.11517
Merimnetes_sp._,14742.07625
Ablabus_integricollis,14703.18267
Spanioda_carissima,14450.96331
Holopsis_sp_B,13942.0424
Oedichirus_cribipennis,13789.37423
Ophrythyreocis_TAS1,13540.7203
Agyrtodes_tasmanicus,13473.22189
Cis_sordidus,13194.14143
Brycopia_hexagona,12662.16498
Mandalotus_mB2,12635.56837
Percodermus_niger,12616.29189
Cryptamorpha_TFIC_sp_03,12574.25073
Enicmus_foveatus,12570.94117
Cryptolaemus_montrouzieri,12499.79979
Poropterus_mollis,12247.58649
Exithius_loculiferus,12171.7584
Accolabass_parvus,11857.71753
Typhlobledius_cylindricus,11608.81295
Bicava_verrucifera,11371.41807
Decilaus_infaustus,10941.88607
Myrmicholeva_ligulata,10314.91787
Pterocyrtus_tasmanicus,10193.16963
Astenus_simsoni,9813.248007
Enhypnon_punctatum,9510.111251
Acallistus_cuprescens,9482.314144
Cryptorinchini_TFIC_sp_01,9103.600255
Agyrtodes_sp._,8947.29499
Diemenoma_sp_A,8896.053046
Nargomorphus_confertus,8599.456737
Lophixus_major,8560.545695
Decilaus_BA1_(sp._erect_setae),8417.155884
Litargops_intricatus,8062.469218
Orchesia_C,8007.298909
Quedius_sp_A,7812.419507
Quedius_ANIC_Newton_sp3,7794.754149
Decilaus_lateralis,7591.523546
Notolioon_multicolor,7394.402754
Microchaetes_bryophilus,7352.755687
Enhypnon_squamosum,6859.454057
Exeiratus_carinatus,6660.222712
Exithius_ferrugineus,6449.254309
Decilaus_suturalis,6353.521244
Exithius_mA1,6325.282028
Decilaus_albonotatus,6124.395528
Stichonotus_leai,5906.730087
Palimbolus_victoriae,5863.54481
Ophrythyreocis_valgus,5663.619725
Osorius_cf._victoriae,5515.722727
Heterothops_dolichocephalus,5345.735809
Ischnoderus_parallelus,5105.410742
Xynotropis_mA2,5052.05887
Decilaus_TFIC_sp_11,4708.42338
Heteromastix_tenuis,4640.177305
Nargomorphus_consimilis,4607.711758
Trechistus_terricola,4585.92625
Latridius_obsoletus,4508.156826
Nargomorphus_jeanneli,4343.338885
Stichonotus_piceus,4265.733734
Decilaus_BC2:_lateralis,3957.386971
Xynotropis_TFIC_sp_01,3943.708617
Hemiodoecellus_fidelis,3212.508933
Decilaus_TFIC_sp_22,3177.26057
Heteromastix_victoriensis,2707.025702
Roptoperus_longus,2547.983496
Notoceryon_TFIC_sp_B,2432.710698
Decilaus_TFIC_sp_09,2133.491101
Palimbolus_mamillatus,2032.243108
Coripera_bistriata,2001.319992
Adelium_pilosum,1472.876408
Sphaerothorax_tierensis,1397.68263
Decilaus_TFIC_sp_02,205.3325949
Boganium_armstrongi,154.9392955
Decilaus_squamosus,55.19570039
Enhypnon_latitarsis,9.974265631
Decilaus_TFIC_sp_08,7.865551366
Decilaus_TFIC_sp_16,5.11779256
Decilaus_cf_nigronotatus,0
Decilaus_TFIC_sp_29,0
Exithius_sp_TMAG_F74646,0
